2018-03-21 13:07:58.092 WARN  NServiceBus.QueuePermissions Queue [private$\primeritus.publisher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-03-21 13:07:58.093 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-03-21 13:07:58.095 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-03-21 13:07:58.096 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-03-21 13:07:58.108 INFO  NServiceBus.Unicast.UnicastBus Initiating shutdown.
2018-03-21 13:07:58.120 INFO  NServiceBus.Unicast.UnicastBus Shutdown complete.
2018-03-21 13:27:52.316 INFO  DefaultFactory Logging to 'E:\OfficeWork\PrimeritusPoC.NServiceBus\Lateetud.NServiceBus.Publisher\App_Data\' with level Info
2018-03-21 13:27:52.494 INFO  NServiceBus.LicenseManager Selected active license from HKEY_LOCAL_MACHINE\SOFTWARE\ParticularSoftware
License Expiration: 11 April 2019

2018-03-21 13:27:52.566 INFO  NServiceBus.Persistence.Sql.Installer Executing 'E:\OfficeWork\PrimeritusPoC.NServiceBus\Lateetud.NServiceBus.Publisher\bin\NServiceBus.Persistence.Sql\MsSqlServer\Subscription_Create.sql'
2018-03-21 13:27:52.578 INFO  NServiceBus.Persistence.Sql.Installer Executing 'E:\OfficeWork\PrimeritusPoC.NServiceBus\Lateetud.NServiceBus.Publisher\bin\NServiceBus.Persistence.Sql\MsSqlServer\Timeout_Create.sql'
2018-03-21 13:27:52.633 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'RIPANPC\Dell' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "RIPANPC\Dell" /add
2018-03-21 13:27:52.701 WARN  NServiceBus.QueuePermissions Queue [private$\primeritus.error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-03-21 13:27:52.704 WARN  NServiceBus.QueuePermissions Queue [private$\primeritus.error] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-03-21 13:27:52.711 WARN  NServiceBus.QueuePermissions Queue [private$\primeritus.publisher.Timeouts] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-03-21 13:27:52.714 WARN  NServiceBus.QueuePermissions Queue [private$\primeritus.publisher.Timeouts] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
